ID,Purposes,tg_columns
102,Determine which dishes were the most popular overall on the menus.,"name, menus_appeared"
103,Determine which dishes were the least popular overall on the menus.,"name, menus_appeared"
104,"Analyze how the highest price has evolved for the top 10 popular dishes, sorting the ""times_appeared"" column to define the popularity of the dishes.","name, times_appeared, highest_price"
105,"Analyze how the lowest price has evolved for the top 10 popular dishes, sorting the ""times_appeared"" column to define the popularity of the dishes.","name, times_appeared, lowest_price"
106,Identify which dishes have experienced a lowest price difference.,"name, highest_price, lowest_price"
107,Identify which dishes have experienced a highest price difference.,"name, highest_price, lowest_price"
108,Compare the average price of a given dish.,"name,  highest_price, lowest_price"
109,Identify the 5 most popular dishes.,"name, menus_appeared, times_appeared"
110,"Identify how the average price has changed for the top 10 most popular dishes, sorting by the ""times_appeared"" 
column to assess their popularity.","name, times_appeared, highest_price, 
lowest_price"
111,Calculate the average delay in departure times across all flights.,"sched_dep_time, act_dep_time"
112,Calculate the average flight duration based on scheduled times.,"sched_dep_time, sched_arr_time"
113,Determine the airline carrier with the best on-time departure performance.,"src, sched_dep_time, act_dep_time"
114,Count the number of flights operated by each airline carrier.,src
115,Identify the most frequent flight number in the dataset.,flight
116,Determine the number of flights arriving in the evening (after 6 PM).,sched_arr_time
117,Group flights by airline carrier and count the number of on-time arrivals.,"src, act_arr_time, sched_arr_time"
118,Classify flights based on whether the scheduled departure time is later than the actual.,"sched_dep_time, act_dep_time"
119,"Categorize flights based on arrival times into ""A.M."" and ""P.M."".",sched_arr_time
120,"Identify which airline carrier handles the most ""delayed"" flights.","src, sched_dep_time, act_dep_time"
121,Detect flights where the actual departure time is earlier than scheduled.,"act_dep_time, sched_dep_time"
122,"Identify flights with unrealistic durations (e.g., arrival time before departure time).","act_dep_time, act_arr_time"
123,Analyze the trend of delayed departures by hour of the day.,"sched_dep_time, act_dep_time"
124,Identify the hour with the highest number of on-time arrivals.,"sched_arr_time, act_arr_time"
125,Track the monthly performance of airline carriers in terms of on-time departures.,"src, sched_dep_time, act_dep_time"
126,Count how many flights with the scheduled and actual arrival time difference.,"sched_arr_time, act_arr_time"
127,Count the number of hospitals per city.,City
128,Explore whether larger cities host more hospitals.,City
129,Calculate the average number of hospitals per county.,CountyName
130,"Determine the top 3  counties whose hospital type is ""acute care hospitals"" offering emergency services.","HospitalType, CountyName, EmergencyService"
131,Identify the hospital ownership types that are most common in cities with multiple ZIP codes.,"HospitalOwner, City, ZipCode"
132,Compute the average length of hospital names grouped by hospital type and ownership.,"HospitalName, HospitalType, HospitalOwner"
133,"Count the number of hospitals offering emergency services by ""acute care hospitals"" hospital type.","EmergencyService, HospitalType"
134,Determine the most frequent combinations of hospital type and ownership.,"HospitalType, HospitalOwner"
135,"Count the number of hospitals by county, grouped by the presence or absence of emergency services.","CountyName, EmergencyService"
136,Find the number of cities with hospitals owned by voluntary non-profits and offering emergency services.,"City, HospitalOwner, EmergencyService"
137,Find hospital types among different counties.,"CountyName, HospitalType"
138,Identify cities where critical access hospitals are primarily government-owned.,"HospitalType, HospitalOwner, City"
139,Count ZIP codes based on the diversity of hospital types and ownerships.,"ZipCode, HospitalType, HospitalOwner"
140,Determine the top 3 cities with the highest ratio of acute care hospitals to total hospitals.,"City, HospitalType"
141,Analyze how hospital types evolve across the ZIP code of one city.,"HospitalType, City, ZipCode"
142,Analyze trends in emergency service availability across hospital types with the highest hospital counts.,"EmergencyService, HospitalType"
143,Analyze whether the hospital owernship changed among counties for the same type.,"CountyName, HospitalOwner, HospitalType"
144,Assess the relationship between hospital ownership and the likelihood of offering emergency services.,"HospitalOwner, EmergencyService"
145,Investigate correlations between city size (estimated by the number of hospitals) and the prevalence of emergency services.,"City, EmergencyService"
146,Explore the relationship between hospital types and their geographical distribution by ZIP code.,"HospitalType, ZipCode"
147,Analyze how ownership type correlates with hospital type.,"HospitalOwner, HospitalType"
148,Retrieve the number of counties that offer the emergency services.,"EmergencyService, CountyName"
149,Filter for hospitals owned by governments that are located in ZIP codes with multiple hospital types.,"HospitalOwner, ZipCode, HospitalType"
150,How many hospital types offer emergency services.,"HospitalType, EmergencyService"
151,Query hospitals in cities with voluntary non-profit ownership and their hospital type.,"City, HospitalOwner, HospitalType"
152,Identify cities where government-owned hospitals dominate the hospital landscape.,"HospitalOwner, City"
153,Determine the relationship between ZIP code density and the likelihood of offering emergency services.,"ZipCode, EmergencyService"
154,Filter for hospitals located in cities with at least three different hospital ownership types.,"City, HospitalOwner"
