ID,Purposes,Purpose,Category
39,List the facilities with the worst inspection ratings: Risk 1 (High).,List the facilities with the worst inspection ratings: Risk 1 (High).,Descriptive Statistics
40,Identify the most frequently occurring risk rating for each facility type.,Identify the most frequently occurring risk rating for each facility type.,Counting and Grouping
41,Identify the facility type associated with the high public risk (risk level is Risk 1).,Identify the facility type associated with the high public risk (risk level is Risk 1).,Category or Type Classification
42,Determine how many grocery stores are classified as high risk (Risk 1).,Determine how many grocery stores are classified as high risk (Risk 1).,Counting and Grouping
49,"Determine the number of school restaurants that are the safest in terms of standards and quality, 
as indicated by the lowest risk level and inspection results.","Determine the number of school restaurants that are the safest in terms of standards and quality, as indicated by the lowest risk level and inspection results.",Time-based Analysis
52,"Identify the addresses of facilities that are considered safe for food consumption based on risk (Risk 3 (Low)) 
and inspection results (pass).",Identify the addresses of facilities that are considered safe for food consumption based on risk (Risk 3 (Low)) and inspection results (pass).,Filtering and Specific Queries
62,Calculate the average loan amount across all PPP loans.,Calculate the average loan amount across all PPP loans.,Descriptive Statistics
63,What's the highest LoanAmount?,What's the highest LoanAmount?,Descriptive Statistics
64,What's the lowest LoanAmount?,What's the lowest LoanAmount?,Descriptive Statistics
65,Report all NAICS Codes that indicate job counts greater than 3.0.,Report all NAICS Codes that indicate job counts greater than 3.0.,Filtering and Specific Queries
66,Examine if a correlation exists between jobs reported and the loan amount received.,Examine if a correlation exists between jobs reported and the loan amount received.,Correlations and Relationships
67,Determine how many PPP loans were disbursed in the city of Honolulu.,Determine how many PPP loans were disbursed in the city of Honolulu.,Filtering and Specific Queries
68,Identify the top 10 business types that received the most PPP loans.,Identify the top 10 business types that received the most PPP loans.,Counting and Grouping
69,Identify the types of businesses that received the highest amount of PPP loans and the corresponding dollar amounts.,Identify the types of businesses that received the highest amount of PPP loans and the corresponding dollar amounts.,Descriptive Statistics
70,Identify the types of businesses that received the lowest amount of PPP loans and the corresponding dollar amounts.,Identify the types of businesses that received the lowest amount of PPP loans and the corresponding dollar amounts.,Descriptive Statistics
71,Check if multiple PPP loans were made to distinct companies sharing the same Zip code.,Check if multiple PPP loans were made to distinct companies sharing the same Zip code.,Correlations and Relationships
72,"For a given zip code, determine how many loans were provided.","For a given zip code, determine how many loans were provided.",Descriptive Statistics
73,"For a given zip code, calculate the total amount of all loans provided.","For a given zip code, calculate the total amount of all loans provided.",Descriptive Statistics
74,Which gender type received the most amount of PPP loans and dollar amount? ,Which gender type received the most amount of PPP loans and dollar amount?,Descriptive Statistics
75,Which gender type districts received the least  amount of PPP loans and dollar amount? ,Which gender type districts received the least amount of PPP loans and dollar amount?,Descriptive Statistics
76,Identify the cities that received the highest amount of PPP loans and the corresponding dollar amounts.,Identify the cities that received the highest amount of PPP loans and the corresponding dollar amounts.,Descriptive Statistics
77,Identify the cities that received the lowest amount of PPP loans and the corresponding dollar amounts.,Identify the cities that received the lowest amount of PPP loans and the corresponding dollar amounts.,Descriptive Statistics
78,Determine the zip codes that received the highest amount of PPP loans and the corresponding dollar amounts.,Determine the zip codes that received the highest amount of PPP loans and the corresponding dollar amounts.,Descriptive Statistics
79,Determine the zip codes that received the lowest amount of PPP loans and the corresponding dollar amounts.,Determine the zip codes that received the lowest amount of PPP loans and the corresponding dollar amounts.,Descriptive Statistics
80,Determine which races received the highest amount of PPP loans and the corresponding dollar amounts.,Determine which races received the highest amount of PPP loans and the corresponding dollar amounts.,Descriptive Statistics
81,Determine which races received the lowest amount of PPP loans and the corresponding dollar amounts.,Determine which races received the lowest amount of PPP loans and the corresponding dollar amounts.,Descriptive Statistics
87,Calculate the ratio of total Loan Amount to Jobs Reported in each city (total Loan Amount in the city divided by total Jobs Reported in the city).,Calculate the ratio of total Loan Amount to Jobs Reported in each city (total Loan Amount in the city divided by total Jobs Reported in the city).,Correlations and Relationships
89,"Identify geography that have the highest loan amounts. Geography defined by the fields City, State, and Zip Code.","Identify geography that has the highest loan amounts. Geography defined by the fields City, State, and Zip Code.",Descriptive Statistics
92,Calculate the average number of times each dish has appeared on the menu.,Calculate the average number of times each dish has appeared on the menu.,Descriptive Statistics
93,"Identify which dishes have been on the menu for the shortest duration, based on their 'first_appeared' and 'last_appeared' dates.","Identify which dishes have been on the menu for the shortest duration, based on their 'first_appeared' and 'last_appeared' dates.",Time-based Analysis
94,"Identify which dishes have been on the menu for the longest duration, based on their 'first_appeared' and 'last_appeared' dates.","Identify which dishes have been on the menu for the longest duration, based on their 'first_appeared' and 'last_appeared' dates.",Time-based Analysis
98,Identify the cheapest dish based on the lowest price.,Identify the cheapest dish based on the lowest price.,Descriptive Statistics
99,Identify the most expensive dish based on the highest price.,Identify the most expensive dish based on the highest price.,Descriptive Statistics
100,Find dishes that first appeared before the year 2000.,Find dishes that first appeared before the year 2000.,Time-based Analysis
101,Identify which dishes were the first to appear on the menu.,Identify which dishes were the first to appear on the menu.,Time-based Analysis
102,Determine which dishes were the most popular overall on the menus.,Determine which dishes were the most popular overall on the menus.,Descriptive Statistics
103,Determine which dishes were the least popular overall on the menus.,Determine which dishes were the least popular overall on the menus.,Descriptive Statistics
104,"Analyze how the highest price has evolved for the top 10 popular dishes, sorting the ""times_appeared"" column to define the popularity of the dishes.","Analyze how the highest price has evolved for the top 10 popular dishes, sorting the ""times_appeared"" column to define the popularity of the dishes.",Time-based Analysis
105,"Analyze how the lowest price has evolved for the top 10 popular dishes, sorting the ""times_appeared"" column to define the popularity of the dishes.","Analyze how the lowest price has evolved for the top 10 popular dishes, sorting the ""times_appeared"" column to define the popularity of the dishes.",Time-based Analysis
106,Identify which dishes have experienced a lowest price difference.,Identify which dishes have experienced a lowest price difference.,Descriptive Statistics
107,Identify which dishes have experienced a highest price difference.,Identify which dishes have experienced a highest price difference.,Descriptive Statistics
108,Compare the average price of a given dish.,Compare the average price of a given dish.,Descriptive Statistics
109,Identify the 5 most popular dishes.,Identify the 5 most popular dishes.,Counting and Grouping
110,"Identify how the average price has changed for the top 10 most popular dishes, sorting by the ""times_appeared"" 
column to assess their popularity. ","Identify how the average price has changed for the top 10 most popular dishes, sorting by the ""times_appeared"" column to assess their popularity.",Time-based Analysis
