ID,Purposes
93,"Identify which dish names have been on the menu for the shortest duration, based on their 'first_appeared' and 'last_appeared' dates."
94,"Identify which dish names have been on the menu for the longest duration, based on their 'first_appeared' and 'last_appeared' dates."
98,Identify the cheapest dish based on the lowest price.
99,Identify the most expensive dish based on the lowest price.
100,"Find dish names that first appeared before the year 2000."
101,"Identify which dish names were the first to appear on the menu."
102,Determine which dishes were the most popular overall on the menus.
103,Determine which dishes were the least popular overall on the menus.
104,"Analyze how the highest price has evolved for the top 10 popular dishes, sorting the ""times_appeared"" column to define the popularity of the dishes."
105,identify the dish whose lowest prices appear more than 20 times.
106,Identify which dishes have experienced a lowest price difference.
107,Identify which dishes have experienced a highest price difference.
108,Compare the average price of a given dish.
109,Identify the 5 most popular dishes.
110,"Identify how the average price has changed for the top 10 most popular dishes, sorting by the ""times_appeared"" column to assess their popularity."
111,Calculate the average delay in departure times across all flights.
112,Calculate the average flight duration based on scheduled times.
113,"Determine departure performance for the airline carrier, e.g., how many times HELLOFLIGHT depart on-time?"
114,"Count the number of airline carriers recorded, e.g., how many times HELLOFLIGHT appears?"
115,Identify the most frequent flight number in the dataset.
116,Determine the number of flights arriving in the evening (after 6 PM).
117,Group flights by the source and count the number of on-time arrivals: the actual arrival time is no later than scheduled arrival time.
118,Classify flights based on whether the scheduled departure time is later than the actual.
119,"Count how many scheduled arrival times fall within the morning period (e.g.,6:00 AM - 11:59 AM)."
120,"Identify which airline carrier source name handles the most ""delayed"" flights, e.g., the schedule arrival time is later than the actual arrival time."
121,Detect flights where the actual departure time is earlier than scheduled.
122,"Identify flights with unrealistic durations (e.g., arrival time before departure time)."
123,Analyze the trend of delayed departures by hour of the day.
124,Identify the hour with the highest number of on-time arrivals.
125,Track the monthly performance of airline source names in terms of on-time departures.
126,Count how many flights whose scheduled arrival time are not same as the arrival time.
127,Count the number of distinct cities.
128,Explore how many different cities are recorded.
129,How many counties are recorded?
130,"Determine the top 3  counties whose hospital type is ""acute care hospitals"" offering emergency services."
131,Identify the hospital ownership types that are most common in cities with multiple ZIP codes.
132,Compute the average length of hospital names grouped by hospital type and ownership.
133,"Count the number of hospitals offering emergency services by ""acute care hospitals"" hospital type."
134,Determine the most frequent combinations of hospital type and ownership.
135,"Count the number of hospitals by county names, grouping by emergency services."
136,Find the number of cities with hospitals owned by voluntary non-profits and offering emergency services.
137,Find hospital types among different counties.
138,Identify cities where critical access hospitals are primarily government-owned.
139,Count ZIP codes based on the diversity of hospital types and ownerships.
140,Determine the top 3 cities with the highest ratio of acute care hospitals to total hospitals.
141,Analyze how hospital types evolve across the ZIP code of one city.
142,Analyze trends in emergency service availability across hospital types with the highest hospital counts.
143,Analyze whether the hospital owernship changed among counties for the same type.
144,Assess the relationship between hospital ownership and the likelihood of offering emergency services.
145,Investigate correlations between city size (estimated by the number of hospitals) and the prevalence of emergency services.
146,Explore the relationship between hospital types and their geographical distribution by ZIP code.
147,Analyze how ownership type correlates with hospital type.
148,Retrieve the number of counties that offer the emergency services.
149,Filter for hospitals owned by governments that are located in ZIP codes with multiple hospital types.
150,How many hospital types offer emergency services.
151,Query hospitals in cities with voluntary non-profit ownership and their hospital type.
152,Identify cities where government-owned hospitals dominate the hospital landscape.
153,Determine the relationship between ZIP code density and the likelihood of offering emergency services.
154,Filter for hospitals located in cities with at least three different hospital ownership types.
