ID,Purposes,Category,Target Column,Column Types,Operations
54,Determine the most recent year of inspection dates.,Time-based Analysis,Inspection Date,date,"regexr_transform, trim, date"
55,Identify businesses with the most frequent inspections.,Counting and Grouping,DBA Name,string,"regexr_transform, trim, upper, mass_edit"
56,List license IDs with the best inspection results (Pass).,Descriptive Statistics,"License #, Results","integer, string","trim, regexr_transform, mass_edit, upper, numeric"
57,Identify businesses where the inspection risk level varies significantly over time.,Time-based Analysis,"DBA Name, Risk, Inspection Date","string, date","regexr_transform, trim, upper, mass_edit, date"
58,Identify the most common risk levels for inspections conducted in restaurant.,Counting and Grouping,"Facility Type, Risk",string,"regexr_transform, trim, upper, mass_edit"
59,Identify businesses inspected on the most recent date.,Time-based Analysis,"DBA Name, Inspection Date","string, date","regexr_transform, trim, upper, date"
60,Determine the id of facility type that are inspected in the most recent date.,Descriptive Statistics,"Facility Type, Inspection ID, Inspection Date","string, number, date","regexr_transform, trim, numeric, mass_edit, upper, date"
127,Count the number of hospitals per city.,Counting and Grouping,City,string,"trim,upper, mass_edit"
128,Explore whether larger cities host more hospitals.,Correlations and Relationships,City,string,"trim,upper, mass_edit"
129,Calculate the average number of hospitals per county.,Descriptive Statistics,CountyName,string,"trim,upper, mass_edit"
130,"Determine the top 3  counties whose hospital type is ""acute care hospitals"" offering emergency services.",Descriptive Statistics,"HospitalType, CountyName, EmergencyService",string,"trim,upper, mass_edit, regexr_transform"
131,Identify the hospital ownership types that are most common in cities with multiple ZIP codes.,Descriptive Statistics,"HospitalOwner, City, ZipCode","string, number","trim,upper, mass_edit, regexr_transform, numeric"
132,Compute the average length of hospital names grouped by hospital type and ownership.,Descriptive Statistics,"HospitalName, HospitalType, HospitalOwner",string,"trim,upper, mass_edit, regexr_transform"
133,"Count the number of hospitals offering emergency services by ""acute care hospitals"" hospital type.",Counting and Grouping,"EmergencyService, HospitalType",string,"trim,upper, mass_edit, regexr_transform"
134,Determine the most frequent combinations of hospital type and ownership.,Counting and Grouping,"HospitalType, HospitalOwner",string,"trim,upper, mass_edit, regexr_transform"
135,"Count the number of hospitals by county, grouped by the presence or absence of emergency services.",Counting and Grouping,"CountyName, EmergencyService",string,"trim,upper, mass_edit, regexr_transform"
136,Find the number of cities with hospitals owned by voluntary non-profits and offering emergency services.,Counting and Grouping,"City, HospitalOwner, EmergencyService",string,"trim,upper, mass_edit, regexr_transform"
137,Find hospital types among different counties.,Category or Type Classification,"CountyName, HospitalType",string,"trim,upper, regexr_transform, mass_edit"
138,Identify cities where critical access hospitals are primarily government-owned.,Category or Type Classification,"HospitalType, HospitalOwner, City",string,"trim,upper, regexr_transform, mass_edit"
139,Count ZIP codes based on the diversity of hospital types and ownerships.,Category or Type Classification,"ZipCode, HospitalType, HospitalOwner","number, string","trim, numeric, upper, regexr_transform, mass_edit"
140,Determine the top 3 cities with the highest ratio of acute care hospitals to total hospitals.,Category or Type Classification,"City, HospitalType",string,"trim,upper, regexr_transform, mass_edit"
141,Analyze how hospital types evolve across the ZIP code of one city.,Time-based Analysis,"HospitalType, City, ZipCode","number, string","trim, numeric, upper, regexr_transform, mass_edit"
142,Analyze trends in emergency service availability across hospital types with the highest hospital counts.,Time-based Analysis,"EmergencyService, HospitalType",string,"trim, regexr_transform, mass_edit, upper"
143,Analyze whether the hospital owernship changed among counties for the same type.,Time-based Analysis,"CountyName, HospitalOwner, HospitalType",string,"trim, regexr_transform, mass_edit, upper"
144,Assess the relationship between hospital ownership and the likelihood of offering emergency services.,Correlations and Relationships,"HospitalOwner, EmergencyService",string,"trim, regexr_transform, mass_edit, upper"
145,Investigate correlations between city size (estimated by the number of hospitals) and the prevalence of emergency services.,Correlations and Relationships,"City, EmergencyService",string,"trim, regexr_transform, mass_edit, upper"
146,Explore the relationship between hospital types and their geographical distribution by ZIP code.,Correlations and Relationships,"HospitalType, ZipCode","string, number","trim, numeric, upper, regexr_transform, mass_edit"
147,Analyze how ownership type correlates with hospital type.,Correlations and Relationships,"HospitalOwner, HospitalType",string,"trim, mass_edit, upper, regexr_transform"
148,Retrieve the number of counties that offer the emergency services.,Filtering and Specific Queries,"EmergencyService, CountyName",string,"trim, upper, mass_edit"
149,Filter for hospitals owned by governments that are located in ZIP codes with multiple hospital types.,Filtering and Specific Queries,"HospitalOwner, ZipCode, HospitalType","string, number","trim, numeric, upper, regexr_transform, mass_edit"
150,How many hospital types offer emergency services.,Filtering and Specific Queries,"HospitalType, EmergencyService",string,"trim, regexr_transform, mass_edit, upper"
151,Query hospitals in cities with voluntary non-profit ownership and their hospital type.,Filtering and Specific Queries,"City, HospitalOwner, HospitalType",string,"trim, regexr_transform, mass_edit, upper"
152,Identify cities where government-owned hospitals dominate the hospital landscape.,Category or Type Classification,"HospitalOwner, City",string,"trim, mass_edit, upper, regexr_transform"
153,Determine the relationship between ZIP code density and the likelihood of offering emergency services.,Correlations and Relationships,"ZipCode, EmergencyService","string, number","trim, mass_edit, upper, numeric"
154,Filter for hospitals located in cities with at least three different hospital ownership types.,Filtering and Specific Queries,"City, HospitalOwner",string,"trim, mass_edit, upper, regexr_transform"
111,Calculate the average delay in departure times across all flights.,Descriptive Statistics,"sched_dep_time, act_dep_time",date,"regexr_transform, trim, upper"
112,Calculate the average flight duration based on scheduled times.,Descriptive Statistics,"sched_dep_time, sched_arr_time",date,"regexr_transform, trim, upper"
113,Determine the airline carrier with the best on-time departure performance.,Descriptive Statistics,"src, sched_dep_time, act_dep_time",string,"regexr_transform, trim, upper, mass_edit"
114,Count the number of flights operated by each airline carrier.,Counting and Grouping,src,string,"regexr_transform, trim, upper, mass_edit"
115,Identify the most frequent flight number in the dataset.,Counting and Grouping,flight,string,"regexr_transform, trim, upper"
116,Determine the number of flights arriving in the evening (after 6 PM).,Filtering and Specific Queries,sched_arr_time,date,"regexr_transform, trim, upper"
117,Group flights by airline carrier and count the number of on-time arrivals.,Counting and Grouping,"src, act_arr_time, sched_arr_time","string, date","regexr_transform, trim, upper, mass_edit"
118,"Classify flights based on whether they are ""on-time,"" ""early,"" or ""delayed.""",Category or Type Classification,"sched_dep_time, act_dep_time",date,"regexr_transform, trim, upper"
119,"Categorize flights based on arrival times into ""A.M."" and ""P.M."".",Category or Type Classification,sched_arr_time,date,"regexr_transform, trim, upper"
120,"Identify which airline carrier handles the most ""delayed"" flights.",Category or Type Classification,"src, sched_dep_time, act_dep_time","string, date","regexr_transform, trim, upper, mass_edit"
121,Detect flights where the actual departure time is earlier than scheduled.,Filtering and Specific Queries,"act_dep_time, sched_dep_time",date,"regexr_transform, trim, upper"
122,"Identify flights with unrealistic durations (e.g., arrival time before departure time).",Filtering and Specific Queries,"act_dep_time, act_arr_time",date,"regexr_transform, trim, upper"
123,Analyze the trend of delayed departures by hour of the day.,Time-based Analysis,"sched_dep_time, act_dep_time",date,"regexr_transform, trim, upper"
124,Identify the hour with the highest number of on-time arrivals.,Time-based Analysis,"sched_arr_time, act_arr_time",date,"regexr_transform, trim, upper"
125,Track the monthly performance of airline carriers in terms of on-time departures.,Time-based Analysis,"src, sched_dep_time, act_dep_time","string, date","regexr_transform, trim, upper, mass_edit"
126,List the top 5 flights with the largest discrepancy between scheduled and actual times.,Filtering and Specific Queries,"sched_dep_time, act_dep_time, sched_arr_time, act_arr_time",date,"regexr_transform, trim, upper"
